N	F0	m	d_ms	d0	v0	prob	collision
8	1155	949	166	9	81	0.390	0
6	3844	1305	95	9	94	0.330	0
7	4800	1291	25	13	110	0.280	0
3	1723	677	484	19	109	0.080	0
7	4067	761	369	18	93	0.330	0
6	2609	952	54	14	74	0.110	0
3	900	1560	67	14	95	0.320	0
7	2371	551	63	17	81	0.170	0
8	2075	1834	57	6	83	0.470	0
5	4836	810	435	12	109	0.310	1
7	1489	1436	449	6	66	0.270	1
8	542	1795	27	15	78	0.360	0
7	4551	1177	375	7	112	0.160	1
4	3221	1315	375	14	85	0.460	0
3	308	629	454	5	103	0.120	1
4	1900	677	332	10	119	0.260	1
3	2391	1843	376	6	80	0.230	1
4	993	1431	221	19	79	0.010	0
7	3873	746	417	10	52	0.450	1
5	1728	997	228	12	67	0.170	0
4	2885	1531	420	18	86	0.280	0
8	4283	576	175	17	51	0.060	0
6	2559	1774	133	7	62	0.230	0
5	1580	1063	20	18	115	0.360	0
4	3882	942	104	16	67	0.400	0
3	1911	522	430	10	75	0.180	1
3	3304	1131	60	10	79	0.180	0
3	2075	1222	481	15	107	0.340	0
7	4796	1850	145	5	52	0.410	0
6	1881	1386	91	7	89	0.450	0
4	2730	1200	133	15	54	0.490	0
8	631	1963	35	14	50	0.170	0
4	1003	709	430	7	104	0.430	1
3	4508	1442	437	14	62	0.090	0
4	3449	1112	287	6	65	0.470	1
6	1804	1220	186	15	104	0.010	0
3	1148	1757	109	10	72	0.040	0
7	3962	1297	254	7	78	0.050	1
5	3994	1908	115	6	91	0.410	0
6	4605	1708	151	7	77	0.270	0
6	2309	1137	58	7	84	0.300	0
5	2145	1766	298	7	89	0.150	0
3	2995	1405	222	15	99	0.280	0
4	2435	1600	424	16	93	0.360	0
7	456	1473	144	17	107	0.070	0
8	1158	824	283	8	91	0.430	0
5	305	565	417	15	73	0.400	0
7	2107	647	74	19	112	0.280	0
3	2176	1062	134	14	105	0.310	0
8	1132	850	279	5	115	0.440	1
7	4562	956	306	10	93	0.490	1
4	369	1797	298	18	112	0.370	0
7	1696	1333	66	9	57	0.250	0
8	2709	1287	179	15	89	0.120	0
5	4553	663	433	9	113	0.380	1
5	4074	1371	253	14	68	0.050	0
6	139	1916	205	7	98	0.200	0
8	4318	529	87	10	98	0.130	0
5	4244	1751	78	12	112	0.370	0
4	2004	587	309	13	104	0.150	0
6	3226	659	117	18	106	0.240	0
6	4257	1208	242	9	74	0.410	0
5	1037	1958	466	14	60	0.440	0
8	1788	1509	479	7	66	0.350	1
7	3231	1614	233	11	90	0.320	0
5	4476	1186	197	9	71	0.050	0
3	1806	635	113	7	91	0.210	0
8	1985	1398	123	5	77	0.100	0
4	4566	823	410	14	57	0.010	0
4	3160	1007	60	9	103	0.360	0
7	2802	1007	223	7	66	0.140	0
3	3641	630	68	9	98	0.380	0
