N	F0	m	d_ms	d0	v0	prob	collision
5	1876	1359	213	13	55	0.300	0
4	504	1358	368	8	99	0.370	0
6	3254	1242	201	17	107	0.090	0
5	4826	1488	382	7	84	0.460	1
3	2731	1567	83	9	92	0.300	0
4	4260	1105	186	15	72	0.440	0
8	4027	1193	47	6	114	0.110	0
4	4019	1366	250	12	110	0.250	0
4	3065	1058	351	17	101	0.020	0
5	4103	1888	15	14	90	0.480	0
7	2694	1296	115	19	74	0.490	0
3	4212	857	136	12	105	0.200	0
7	2750	1749	56	19	91	0.280	0
8	4317	1295	412	12	81	0.240	1
6	3498	1857	309	11	118	0.270	0
7	799	1037	248	19	111	0.230	0
8	1535	742	229	11	63	0.330	0
5	853	667	39	17	71	0.320	0
5	1209	1839	414	9	62	0.080	0
5	825	714	266	15	111	0.400	0
3	421	1480	29	5	116	0.220	0
5	4966	1338	380	15	113	0.380	0
8	2690	1735	161	6	76	0.140	0
6	3534	716	254	10	94	0.060	0
8	206	1474	388	6	51	0.450	0
6	1072	1796	265	17	83	0.370	0
6	2789	1477	106	13	96	0.350	0
7	2318	828	386	12	86	0.370	1
3	4737	1700	217	19	73	0.050	0
7	1074	512	344	15	98	0.150	0
5	4286	1779	325	12	50	0.340	0
6	4191	901	427	12	102	0.320	1
7	1949	1600	226	18	59	0.020	0
7	1131	1269	159	12	99	0.350	0
5	2727	1777	494	16	104	0.180	0
3	2536	1526	128	19	88	0.100	0
3	1058	863	264	15	103	0.330	0
4	1241	1590	437	11	75	0.090	0
6	3604	961	174	7	79	0.060	0
5	1667	1285	443	17	57	0.160	0
5	1594	1966	293	9	105	0.060	0
6	4270	732	205	18	77	0.400	0
6	1637	1396	168	16	100	0.340	0
6	4564	1198	215	18	81	0.170	0
5	417	677	226	9	113	0.300	0
8	2740	1567	336	13	71	0.310	0
5	2928	1831	264	17	66	0.250	0
7	1248	1891	61	10	71	0.250	0
6	3466	1395	309	9	98	0.440	1
7	4504	508	164	8	104	0.140	1
6	2552	1019	135	14	94	0.010	0
6	944	916	401	6	70	0.220	1
7	4155	1105	335	10	107	0.490	1
8	2273	1161	187	9	54	0.370	0
6	2799	1393	444	16	88	0.140	0
5	2719	695	314	12	81	0.480	0
7	3318	1715	305	5	53	0.200	1
6	3883	1656	428	18	53	0.310	0
5	3654	1153	210	15	108	0.030	0
7	4141	1980	349	18	75	0.430	0
5	4390	1350	79	17	59	0.070	0
4	2745	1976	394	6	92	0.120	1
7	561	513	78	12	105	0.370	0
4	3570	1370	284	19	112	0.360	0
8	3597	1027	141	16	115	0.310	0
5	3012	1429	423	10	91	0.490	1
7	1913	1435	207	12	109	0.120	0
4	2685	971	476	10	99	0.150	1
8	3300	734	272	12	116	0.290	0
7	1288	1960	32	14	79	0.300	0
8	4214	1249	166	9	87	0.460	0
3	448	1628	481	17	104	0.070	0
3	4186	1657	177	11	113	0.060	0
4	206	1299	81	17	101	0.360	0
4	2300	1868	487	17	86	0.460	0
3	530	1459	185	8	75	0.250	0
3	2540	1452	184	8	104	0.450	0
5	185	1613	74	7	118	0.410	0
3	490	770	497	9	69	0.110	0
4	4429	1650	448	11	114	0.350	1
8	1555	1274	402	19	91	0.320	0
3	625	1760	204	7	58	0.480	0
6	3198	1336	100	7	111	0.460	1
7	3891	1251	25	12	73	0.360	0
7	782	580	411	18	84	0.080	0
5	4490	1126	168	18	98	0.170	0
8	4414	731	240	16	106	0.250	0
7	1309	1068	56	10	89	0.420	0
4	618	1147	31	6	98	0.150	0
6	4089	1897	359	11	84	0.010	0
3	508	1806	239	6	87	0.460	0
7	554	636	336	10	76	0.040	0
7	2610	1391	411	11	98	0.470	1
6	2594	904	43	14	88	0.480	0
4	1947	1092	190	19	82	0.100	0
7	3732	1433	388	17	61	0.420	0
8	1344	1612	179	17	74	0.260	0
4	4979	1974	175	17	81	0.190	0
8	3706	1722	134	19	81	0.280	0
4	2343	1606	210	18	108	0.330	0
7	2683	1137	133	18	76	0.310	0
8	3622	1987	100	7	50	0.420	0
6	1208	1329	398	9	103	0.030	0
8	4140	1975	50	6	64	0.160	0
3	3802	641	386	14	91	0.320	1
4	3402	564	116	17	108	0.030	0
4	2703	1773	166	7	100	0.050	0
7	1476	586	161	13	94	0.120	0
6	2536	1577	235	8	115	0.080	0
3	2316	1297	273	14	106	0.390	0
6	1990	1274	374	14	64	0.090	0
3	3537	800	125	10	84	0.010	0
4	4144	755	81	18	57	0.490	0
6	4284	567	257	5	55	0.070	1
4	4810	562	157	5	116	0.270	1
6	3556	1023	62	15	100	0.310	0
6	2331	1777	90	10	65	0.320	0
6	3925	1678	216	11	71	0.070	0
8	3099	1118	201	17	54	0.030	0
5	1684	763	13	19	88	0.030	0
6	1563	1055	340	16	52	0.420	0
5	3850	1722	119	19	109	0.210	0
7	3280	1752	397	19	104	0.340	0
3	2047	1442	164	18	64	0.360	0
7	3817	1394	156	11	73	0.070	0
8	3253	1705	169	15	62	0.450	0
8	2903	1598	244	15	80	0.380	0
5	4350	654	446	14	104	0.200	1
4	560	714	311	9	74	0.120	0
5	417	852	412	6	94	0.180	0
5	1056	869	306	17	101	0.300	0
3	583	1207	214	6	88	0.290	0
3	1648	1047	366	9	55	0.430	0
3	3878	1258	18	16	61	0.170	0
7	3696	817	393	8	114	0.330	1
5	3959	811	484	11	71	0.010	1
7	1427	791	380	13	63	0.470	0
6	3560	1615	461	19	62	0.320	0
8	1538	1543	14	7	114	0.200	0
8	2677	1925	302	13	57	0.330	0
7	4064	1125	54	18	50	0.080	0
7	2935	1834	151	11	111	0.190	0
7	3278	1625	147	8	52	0.270	0
4	1998	1762	90	15	78	0.470	0
3	231	1010	267	19	97	0.280	0
7	3456	1604	339	19	77	0.210	0
8	4161	1602	351	12	63	0.230	0
5	3731	1966	330	18	78	0.020	0
3	858	796	334	13	99	0.040	0
6	1979	1346	106	10	98	0.330	0
8	1221	558	487	10	76	0.440	1
8	2464	809	147	19	103	0.110	0
7	1092	1643	183	12	83	0.350	0
5	816	729	2	16	99	0.390	0
7	3757	1505	72	6	73	0.400	0
8	4024	757	371	10	86	0.100	1
7	698	814	407	13	90	0.480	0
3	2215	1481	486	19	102	0.280	0
7	1465	1413	322	18	87	0.470	0
3	3192	799	359	10	99	0.440	1
3	1474	522	56	10	110	0.430	0
3	4737	1507	280	5	90	0.490	1
5	3220	1254	307	11	76	0.390	1
4	738	1980	428	17	56	0.400	0
8	1316	1097	143	6	59	0.350	0
6	2376	1858	263	12	99	0.160	0
7	2662	646	460	6	53	0.230	1
8	1881	968	281	18	53	0.390	0
6	4615	819	134	13	73	0.140	0
6	846	1963	222	14	59	0.090	0
3	1785	1995	306	9	54	0.290	0
5	2502	1134	438	17	91	0.370	0
8	3496	1190	390	5	114	0.010	1
5	1803	1440	252	14	110	0.110	0
6	2346	1645	276	7	104	0.380	1
8	1736	1317	21	11	92	0.350	0
3	478	1145	94	19	64	0.450	0
8	3089	1779	468	19	104	0.050	0
3	3960	1380	39	8	60	0.420	0
5	4201	753	258	16	108	0.420	0
3	1877	1166	452	14	53	0.220	0
5	1970	1735	146	8	106	0.140	0
4	3515	1952	247	13	95	0.290	0
3	2416	596	345	7	94	0.290	1
5	1760	737	190	15	111	0.340	0
5	3199	996	242	6	76	0.050	1
3	2153	1067	28	17	85	0.480	0
6	4820	1644	245	9	74	0.280	0
8	662	1182	89	7	64	0.100	0
7	1027	872	363	16	100	0.330	0
8	4691	902	68	19	69	0.420	0
8	2223	1714	59	18	89	0.210	0
5	2954	1881	271	13	78	0.400	0
3	3820	565	483	15	78	0.360	1
6	1245	558	6	17	80	0.370	0
6	1259	1453	46	5	59	0.110	0
8	599	758	29	15	103	0.210	0
4	4627	1719	145	16	111	0.450	0
5	141	1419	1	7	92	0.360	0
4	1389	1187	33	9	108	0.200	0
4	246	873	244	7	91	0.260	0
3	4043	767	212	16	83	0.390	0
4	2070	1976	74	14	92	0.430	0
6	4442	1863	222	9	114	0.100	0
8	1694	1278	90	13	72	0.490	0
4	3623	1929	82	15	100	0.310	0
6	1815	1233	18	19	84	0.370	0
5	4668	1345	387	9	101	0.270	1
3	788	1690	417	6	101	0.300	0
6	2742	1695	79	7	50	0.370	0
5	1582	1676	405	12	54	0.250	0
7	622	734	241	13	65	0.220	0
3	4564	606	357	18	106	0.040	0
4	2534	1853	422	7	87	0.450	1
4	503	1829	366	17	62	0.290	0
6	1748	634	87	14	96	0.090	0
6	3721	1429	490	19	76	0.460	0
8	2988	1084	275	13	99	0.050	0
3	2524	1540	407	14	68	0.010	0
6	2122	1024	323	15	50	0.270	0
6	1834	1215	252	14	103	0.110	0
8	3909	1016	360	5	73	0.120	1
5	3357	1630	253	17	70	0.480	0
3	1349	1648	28	17	118	0.160	0
4	3749	1546	220	10	55	0.180	0
3	4230	1783	64	15	111	0.200	0
3	1847	1317	354	8	114	0.030	0
7	2191	1780	75	17	115	0.230	0
6	1161	643	100	10	60	0.450	0
3	3280	654	204	15	63	0.410	0
4	4670	1785	235	13	59	0.250	0
7	2217	1975	253	15	88	0.430	0
8	3356	1141	12	7	113	0.100	0
3	1911	1496	265	8	60	0.470	0
7	3992	501	293	9	101	0.400	1
8	2342	1134	206	6	105	0.150	1
4	1055	1937	191	17	53	0.020	0
4	3963	1775	232	15	81	0.160	0
7	3973	1075	232	9	69	0.260	0
6	1502	1925	255	16	103	0.070	0
8	1322	924	462	19	113	0.400	0
3	1392	1733	322	17	59	0.230	0
5	2148	1040	206	15	56	0.120	0
8	3617	1628	130	5	104	0.050	1
3	271	540	267	9	117	0.150	0
5	4816	1830	64	8	51	0.010	0
3	2828	1750	120	17	81	0.320	0
4	4828	1112	233	5	60	0.450	1
8	1434	1779	281	6	92	0.270	0
6	2542	1281	407	8	84	0.380	1
3	1673	1778	13	8	104	0.260	0
7	4131	708	106	11	53	0.110	0
3	3981	1593	286	13	87	0.400	0
6	1293	664	369	8	79	0.200	1
5	2831	1708	263	17	88	0.140	0
4	1218	1569	343	11	58	0.080	0
6	3686	1126	432	6	116	0.390	1
6	988	1003	253	11	108	0.380	0
4	2688	1745	451	16	59	0.320	0
8	3342	1000	469	11	118	0.440	1
8	561	1866	356	14	76	0.180	0
3	1711	1048	319	15	101	0.020	0
6	1947	1598	410	5	82	0.430	1
3	4588	1423	407	19	116	0.270	0
5	998	954	4	8	67	0.450	0
7	4736	598	306	19	85	0.290	0
6	3513	1346	304	10	74	0.360	1
8	4961	1358	398	11	103	0.220	1
6	485	1899	168	17	94	0.270	0
4	3979	854	47	16	73	0.110	0
8	3550	873	152	5	55	0.490	1
6	3408	1776	3	6	94	0.490	0
6	1237	660	443	17	74	0.100	0
7	1550	1948	192	15	97	0.470	0
7	4953	1172	242	8	58	0.430	1
3	3990	877	334	16	94	0.080	0
3	3230	1312	72	5	66	0.310	0
6	4547	1681	70	14	93	0.250	0
7	245	1518	200	18	62	0.430	0
3	3342	767	417	12	70	0.210	0
8	1522	1608	146	18	65	0.400	0
7	592	1966	10	19	74	0.430	0
6	752	1133	424	16	63	0.340	0
6	934	1558	64	9	62	0.140	0
5	4539	843	69	16	63	0.360	0
7	3925	818	363	18	105	0.070	0
6	1797	729	381	19	86	0.110	0
7	3988	1115	387	7	111	0.110	1
6	1972	1962	201	7	74	0.480	0
8	1643	1196	497	5	54	0.100	1
6	3032	1820	221	8	113	0.300	0
5	2391	1747	494	18	66	0.470	0
8	4899	1287	59	14	112	0.440	0
4	3971	1390	25	17	88	0.130	0
3	788	661	96	11	60	0.020	0
4	622	1713	83	5	60	0.080	0
6	1230	1700	68	19	58	0.270	0
8	3264	1202	173	12	90	0.190	0
5	3929	1402	204	12	82	0.160	0
4	3677	1611	224	14	61	0.270	0
7	4576	1301	146	9	61	0.410	0
5	1488	1110	307	7	51	0.430	0
8	3738	1175	10	11	112	0.120	0
6	498	587	295	5	73	0.060	0
8	4871	1037	428	16	92	0.090	0
6	1294	1742	51	12	81	0.280	0
5	2297	1045	166	12	70	0.120	0
3	538	1848	193	9	107	0.050	0
8	3655	1824	89	6	70	0.370	0
4	2425	1044	34	11	79	0.220	0
5	973	704	418	18	91	0.380	0
4	3571	1555	64	12	102	0.470	0
7	169	1806	113	6	50	0.390	0
4	3531	1152	293	19	54	0.370	0
5	3179	984	237	14	51	0.100	0
6	475	678	400	16	65	0.310	0
7	4276	1968	136	17	106	0.070	0
5	1297	1151	83	11	79	0.460	0
5	4467	1788	473	12	90	0.130	1
3	1628	981	440	12	80	0.270	0
8	1027	684	11	15	107	0.460	0
4	4662	1932	171	11	63	0.350	0
3	732	1051	294	10	67	0.470	0
6	1676	1356	149	11	82	0.310	0
4	2317	1498	345	13	95	0.220	0
5	479	1698	159	11	57	0.100	0
8	3657	1994	123	16	73	0.490	0
5	2586	1498	397	9	98	0.240	1
8	395	802	206	15	85	0.270	0
5	966	536	99	8	62	0.180	0
3	1996	896	7	9	56	0.160	0
8	2452	1228	134	7	111	0.110	0
7	3083	1734	99	16	88	0.220	0
4	1211	1715	375	6	73	0.470	0
3	4873	1334	65	12	114	0.260	0
4	3299	712	417	5	72	0.460	1
4	2819	1409	422	14	50	0.140	0
3	4234	926	239	14	116	0.240	0
7	2071	1391	460	16	73	0.120	0
6	2558	722	391	6	85	0.180	1
8	4222	1195	182	18	112	0.270	0
8	4891	1898	189	6	52	0.010	0
4	3316	567	421	18	93	0.440	0
5	4521	1767	277	10	114	0.470	0
4	960	1883	43	5	119	0.150	0
5	3817	529	406	12	57	0.010	0
7	3652	1508	161	19	51	0.470	0
6	3352	669	270	8	118	0.310	1
6	1237	1017	450	13	52	0.100	0
6	1316	699	78	16	84	0.470	0
7	4682	1077	489	6	83	0.370	1
3	441	1913	38	15	118	0.430	0
5	1473	688	449	6	50	0.420	1
7	2658	1412	94	14	95	0.190	0
5	2339	916	153	11	85	0.180	0
8	194	795	243	8	108	0.140	0
3	3939	1377	428	17	95	0.350	0
5	4732	1649	36	7	95	0.400	0
8	2625	1595	254	16	119	0.430	0
7	4201	1963	5	14	82	0.040	0
4	4686	1015	323	7	97	0.340	1
5	4915	1042	151	13	116	0.310	0
5	3365	1610	80	12	70	0.480	0
4	2677	605	315	14	109	0.160	0
5	2326	716	416	17	94	0.070	0
6	1258	949	390	12	65	0.290	0
6	1336	1321	474	14	104	0.360	0
5	862	1157	196	12	86	0.410	0
8	4420	1336	98	12	91	0.430	0
4	3929	719	126	12	65	0.090	0
4	105	1797	121	19	73	0.220	0
5	3234	1130	498	9	55	0.350	1
5	970	947	96	19	97	0.480	0
8	3121	613	478	18	77	0.150	0
8	2663	1930	160	15	65	0.360	0
3	558	1647	425	17	99	0.260	0
6	1519	1423	372	12	54	0.230	0
7	1877	866	322	12	71	0.450	0
8	3732	1472	123	12	82	0.490	0
8	2055	610	478	17	77	0.340	0
6	3166	1214	451	18	109	0.380	0
5	3616	974	424	10	54	0.010	0
6	2178	1305	52	15	88	0.380	0
4	574	626	164	16	105	0.490	0
8	1235	571	426	18	83	0.320	0
4	769	558	181	8	66	0.100	0
6	2207	1233	49	14	51	0.410	0
6	1910	561	101	11	88	0.440	0
8	3064	1247	385	13	88	0.390	0
5	884	1387	135	6	115	0.410	0
4	849	848	424	16	117	0.030	0
4	1648	1788	418	7	101	0.190	0
5	1922	932	251	13	109	0.330	0
8	3302	933	42	17	100	0.320	0
4	2022	845	443	6	93	0.070	1
4	675	1131	185	18	83	0.160	0
5	4006	935	106	13	77	0.350	0
5	4773	941	375	5	69	0.250	1
6	1488	1501	182	18	74	0.280	0
6	3065	1259	218	10	56	0.180	0
6	3671	1685	5	14	81	0.140	0
8	3888	629	80	8	118	0.280	0
6	4020	1403	353	16	62	0.090	0
4	3836	1141	194	11	57	0.430	0
4	1751	1789	118	8	50	0.050	0
3	2368	1870	115	16	110	0.180	0
7	3058	1121	233	6	118	0.170	1
6	3532	1203	407	17	117	0.480	0
4	3969	1473	167	14	87	0.200	0
6	235	1113	437	18	51	0.090	0
7	1933	1806	139	19	102	0.030	0
4	2140	1283	215	10	62	0.030	0
5	4480	1877	186	19	99	0.490	0
7	4265	1133	369	9	61	0.350	1
5	1805	731	114	10	86	0.480	0
6	3633	1210	316	18	115	0.260	0
7	1887	1167	5	8	51	0.130	0
4	1904	523	256	15	94	0.260	0
4	3977	1468	486	12	106	0.260	1
8	4284	1254	127	8	119	0.280	0
4	3159	1920	309	18	86	0.300	0
5	4699	1589	271	7	57	0.380	1
7	195	503	329	9	103	0.320	0
5	3430	1859	336	6	62	0.010	1
7	3701	919	72	8	100	0.430	0
6	4540	1647	246	15	119	0.340	0
4	4873	930	90	11	71	0.130	0
4	3811	1075	209	10	72	0.340	0
3	4170	1866	471	16	59	0.190	0
5	3822	1114	35	5	95	0.330	1
6	863	1875	274	9	105	0.470	0
8	4970	1966	74	19	55	0.020	0
3	1758	542	264	8	86	0.450	1
4	2258	1550	184	19	84	0.260	0
7	3942	1844	37	5	69	0.270	0
3	3914	1192	390	8	113	0.330	1
3	3145	1598	39	18	55	0.110	0
6	974	1289	174	14	88	0.160	0
8	365	1889	209	12	79	0.050	0
8	3769	1111	176	6	79	0.100	1
4	3101	1136	270	8	53	0.230	0
5	1935	1042	343	6	90	0.170	1
6	4655	834	438	8	99	0.410	1
7	4931	1683	427	5	114	0.480	1
6	2079	786	234	10	87	0.210	0
6	891	1280	127	19	113	0.310	0
6	1772	1977	28	7	99	0.270	0
3	1371	1127	79	18	108	0.330	0
7	1833	743	330	18	64	0.120	0
4	2805	544	330	8	97	0.030	1
3	2836	574	464	10	55	0.430	1
6	1335	1216	116	18	109	0.110	0
4	1073	813	486	14	103	0.440	0
4	3887	1713	198	17	109	0.300	0
8	1342	1533	348	7	82	0.070	0
4	2632	1433	454	9	73	0.190	0
7	2181	1504	237	6	78	0.450	1
8	4924	824	200	17	52	0.090	0
8	3877	1096	45	15	106	0.490	0
5	1698	1731	201	17	113	0.290	0
5	3888	1234	255	10	54	0.320	0
5	655	1194	368	10	104	0.480	0
8	100	1822	414	6	72	0.060	0
7	4196	1287	110	7	62	0.370	0
5	3299	1508	430	5	105	0.070	1
5	4354	667	85	11	88	0.070	0
5	1058	942	364	18	107	0.280	0
7	1465	629	463	19	57	0.130	0
7	3587	740	225	11	104	0.100	0
6	1481	1514	476	9	84	0.160	0
6	4238	1683	460	5	81	0.220	1
5	3697	902	32	16	85	0.290	0
3	379	1467	455	9	88	0.210	0
6	293	1881	76	5	95	0.180	0
6	3391	983	191	8	81	0.230	1
7	288	963	74	7	51	0.370	0
3	3748	737	129	10	91	0.220	0
8	1347	1847	1	8	86	0.340	0
4	3426	1031	452	15	70	0.050	0
3	2872	1852	326	16	99	0.070	0
3	3662	1080	165	11	93	0.070	0
3	3203	523	391	13	112	0.040	1
4	1577	1841	449	7	100	0.310	0
6	783	1915	339	15	95	0.250	0
8	3015	1335	146	13	81	0.450	0
7	3657	1065	47	5	60	0.400	1
8	4087	1830	10	5	93	0.330	0
7	4080	532	454	18	84	0.200	0
6	1601	536	333	11	74	0.130	0
4	4799	1669	239	15	96	0.240	0
8	1349	1768	168	14	95	0.430	0
4	3845	1479	97	13	50	0.440	0
4	3837	1796	158	5	91	0.090	0
8	2568	1241	128	5	90	0.160	1
3	4516	657	210	12	114	0.040	0
6	716	615	6	16	59	0.400	0
6	3058	704	41	5	71	0.110	0
3	2637	1481	478	7	96	0.190	1
8	4674	1928	219	18	78	0.130	0
4	2363	1561	105	18	55	0.160	0
6	160	1180	48	17	96	0.190	0
6	4919	588	19	10	76	0.340	0
4	1175	1094	400	12	75	0.250	0
7	3229	1957	439	6	69	0.430	1
3	3412	1239	420	8	117	0.340	1
6	619	617	48	7	80	0.380	0
8	3569	788	322	18	119	0.150	0
8	4807	861	85	5	62	0.220	0
8	4620	1106	37	14	114	0.060	0
7	2783	1290	230	16	110	0.230	0
5	3129	891	87	12	81	0.320	0
4	3123	1416	267	17	75	0.190	0
6	3697	1623	448	8	94	0.220	1
8	1000	1541	40	8	50	0.120	0
3	2467	1369	412	5	69	0.100	1
3	3025	1019	118	15	69	0.240	0
6	2808	1855	465	17	78	0.300	0
8	3855	851	302	16	54	0.460	0
5	3458	1438	20	7	92	0.200	0
8	3160	733	229	14	80	0.030	0
5	4262	933	486	13	71	0.380	1
5	1181	516	356	8	98	0.220	1
6	4339	1263	32	5	67	0.140	0
7	3612	1091	270	6	71	0.280	1
3	3046	1745	476	16	61	0.310	0
7	3652	1578	33	6	54	0.450	0
7	521	1065	489	18	116	0.080	0
6	1631	1124	455	7	111	0.130	1
3	3204	664	129	7	104	0.180	0
4	2482	864	401	14	118	0.170	0
5	870	1361	240	18	107	0.170	0
6	4553	1248	157	7	72	0.260	0
4	1509	914	102	9	85	0.400	0
8	2509	995	142	9	119	0.190	0
8	1508	715	371	9	105	0.400	1
6	2878	899	389	19	93	0.430	0
7	485	1868	152	9	83	0.410	0
3	2787	1194	450	13	106	0.310	0
5	3924	1960	341	6	57	0.310	1
3	3523	1416	310	16	76	0.330	0
3	3359	571	316	12	51	0.400	0
6	911	596	213	13	84	0.170	0
5	3850	1319	296	7	118	0.120	1
3	597	1917	438	8	89	0.020	0
3	1294	1259	216	8	97	0.020	0
3	645	1319	99	7	96	0.490	0
4	364	674	44	17	114	0.140	0
4	4401	827	68	10	98	0.020	0
8	1712	1426	372	5	107	0.060	1
4	3455	1450	99	7	101	0.230	0
8	2280	1992	414	13	108	0.020	0
4	806	631	17	8	65	0.020	0
6	1464	1656	344	18	58	0.480	0
7	365	1902	19	5	76	0.330	0
7	1385	986	297	6	89	0.430	1
3	566	724	168	17	66	0.420	0
4	3193	1725	429	10	62	0.250	0
7	1410	613	269	10	53	0.310	0
4	1616	1322	375	19	58	0.310	0
6	1104	1903	191	17	64	0.340	0
4	3647	921	32	12	53	0.370	0
6	1209	1450	39	6	110	0.080	0
3	655	1926	269	14	71	0.350	0
3	2959	1548	424	9	90	0.310	1
6	3537	774	88	16	84	0.070	0
5	1229	923	350	7	82	0.150	0
6	4212	1267	199	7	111	0.120	1
8	3144	1302	434	9	65	0.210	1
4	315	1721	486	7	89	0.380	0
5	2123	995	414	16	100	0.020	0
6	3748	1330	26	9	112	0.450	0
7	756	1863	303	15	113	0.350	0
7	955	955	423	15	60	0.490	0
5	2461	1624	387	9	100	0.200	0
3	4102	1655	272	11	119	0.070	0
6	781	898	406	11	107	0.200	0
4	4658	574	333	6	76	0.410	1
6	1201	873	268	13	84	0.240	0
5	975	835	217	11	108	0.330	0
5	3333	756	25	11	97	0.170	0
5	3206	1693	403	17	98	0.140	0
7	340	1187	330	15	93	0.110	0
6	3887	788	301	10	100	0.050	1
7	4442	721	331	19	110	0.110	0
6	1520	1935	183	19	78	0.380	0
3	2105	779	453	6	74	0.180	1
4	3886	965	203	12	105	0.360	0
3	2568	1377	361	18	104	0.010	0
6	2557	1125	246	8	118	0.020	0
5	4903	1522	174	8	96	0.480	1
8	1491	1356	34	12	113	0.170	0
5	1831	1021	294	17	112	0.160	0
3	4958	1113	8	11	76	0.210	0
4	4360	972	482	18	63	0.460	0
6	4627	1498	140	19	55	0.450	0
8	3207	796	485	5	118	0.440	1
6	3729	950	376	7	107	0.490	1
3	1194	1447	436	15	59	0.390	0
7	2257	714	305	12	75	0.440	0
5	4967	538	353	14	73	0.330	0
4	362	619	345	12	95	0.450	0
5	1578	1862	442	8	115	0.100	0
5	2805	1070	221	14	90	0.480	0
7	201	617	101	13	100	0.490	0
7	2860	1413	436	15	63	0.450	0
5	1450	922	66	15	97	0.150	0
6	1109	1955	69	5	113	0.370	0
8	1089	846	26	17	79	0.260	0
3	2965	568	24	12	53	0.030	0
6	2566	1745	27	11	69	0.320	0
6	3087	961	440	15	55	0.380	0
6	3571	654	481	7	62	0.020	1
5	2738	864	218	6	72	0.150	1
8	1009	1034	373	10	116	0.330	0
5	1710	1445	471	18	93	0.140	0
7	4724	1184	213	11	61	0.210	0
3	4586	1785	149	17	67	0.480	0
6	3698	1064	151	18	77	0.310	0
4	2412	1620	292	6	69	0.050	1
5	4991	1128	77	10	112	0.430	0
6	4404	856	320	15	78	0.330	0
7	784	1880	71	10	112	0.270	0
5	1731	1427	89	10	83	0.150	0
3	564	508	324	16	96	0.300	0
8	2741	538	401	14	93	0.100	0
3	2694	1653	164	11	81	0.160	0
4	1377	1954	31	6	117	0.080	0
3	356	928	240	7	114	0.010	0
6	977	522	1	16	82	0.400	0
3	2282	1281	91	17	107	0.310	0
5	4110	838	49	7	70	0.130	0
7	3801	1389	198	9	77	0.170	0
3	3911	1088	230	9	114	0.340	1
5	3464	1629	49	15	53	0.240	0
3	4021	669	303	15	102	0.370	0
7	4331	1250	379	5	80	0.220	1
7	3717	993	246	12	64	0.220	0
7	4903	1548	493	12	111	0.220	1
6	870	558	71	5	83	0.470	1
8	2231	1011	55	16	105	0.210	0
8	201	1305	32	18	73	0.090	0
5	1394	1941	73	5	81	0.170	0
6	309	1265	143	18	67	0.450	0
3	3923	1771	193	19	101	0.450	0
8	4955	1990	418	11	105	0.230	1
8	2559	1680	8	6	110	0.060	0
6	4066	696	372	10	94	0.070	1
8	2949	1693	130	6	104	0.320	0
4	3193	1821	354	15	63	0.090	0
6	386	1894	401	5	78	0.310	0
6	3457	1612	40	19	85	0.160	0
4	3966	1368	226	10	61	0.100	0
3	1537	1316	285	5	78	0.240	0
6	2517	1787	329	18	88	0.280	0
3	3693	1481	234	18	113	0.030	0
7	2628	506	60	9	100	0.030	0
4	3941	1238	10	19	62	0.350	0
5	3839	1187	476	17	72	0.160	0
7	2543	782	405	17	52	0.170	0
6	2991	1253	357	14	69	0.470	0
7	4026	1512	200	13	93	0.360	0
5	930	1361	157	17	72	0.240	0
7	1266	896	494	17	97	0.370	0
3	2602	668	308	5	62	0.160	1
5	2440	1827	48	5	81	0.340	0
8	4210	1082	445	7	80	0.410	1
3	2528	1243	45	5	86	0.330	0
4	2217	1671	223	16	97	0.190	0
3	4751	1484	486	16	105	0.080	0
8	2741	529	483	9	101	0.440	1
6	3883	1739	391	19	80	0.180	0
5	521	1302	313	7	56	0.370	0
5	4580	781	61	8	77	0.420	0
6	3754	1166	444	13	80	0.320	0
3	3416	1936	445	17	95	0.330	0
5	1949	845	82	9	100	0.100	0
5	4737	1784	115	19	57	0.010	0
7	3190	1996	37	15	69	0.090	0
5	1230	1714	469	12	118	0.250	0
8	2771	907	148	6	81	0.280	1
4	4690	1465	456	9	78	0.030	1
7	2819	543	153	16	51	0.250	0
4	3761	866	47	11	64	0.320	0
8	2053	924	355	11	91	0.160	0
8	2967	796	424	9	52	0.490	1
5	2230	1092	237	11	106	0.460	0
7	1966	762	485	18	113	0.320	1
4	273	1722	203	12	106	0.440	0
5	2275	1076	455	10	54	0.130	0
4	4891	1089	309	15	54	0.240	0
4	155	847	62	14	95	0.290	0
8	1677	1100	293	8	79	0.140	0
8	3856	630	420	10	67	0.440	1
5	4235	1477	99	9	81	0.330	0
3	2456	1106	30	12	115	0.490	0
5	3875	1028	242	8	54	0.200	0
3	2494	679	19	15	83	0.190	0
7	353	660	246	7	56	0.460	0
8	1213	1956	129	6	98	0.390	0
3	4711	1281	329	19	116	0.200	0
7	1664	1936	198	10	86	0.030	0
8	1268	1217	262	6	68	0.260	0
3	4988	702	451	9	105	0.060	1
5	3390	546	124	8	79	0.370	0
5	1299	1024	106	19	108	0.120	0
7	2789	1235	434	7	101	0.280	1
5	3189	981	131	18	98	0.490	0
7	425	1822	109	13	98	0.420	0
4	3236	841	221	11	91	0.350	0
6	3568	1806	171	7	50	0.420	0
5	641	1085	281	6	70	0.310	0
3	2626	1518	341	18	83	0.090	0
7	1420	1921	360	9	100	0.290	0
4	4594	1872	272	14	86	0.200	0
3	4344	902	159	7	104	0.400	1
4	4040	516	22	14	82	0.010	0
