ArriviDeFerrariAscensore6	ArriviDeFerrariAscensore7	ArriviDaDeFerrari6	ArriviDaDeFerrari7	PersoneSceseDalTreno6vsBrignole	PersoneSceseDalTreno7vsBrignole	IntervalloTreni6vsBrin	OccupazioneTreno6vsBrin	PersoneSaliteABordo6vsBrin	PersoneABordoPreDiscesa6vsBrin	PersoneSceseDalTreno6vsBrin	IntervalloTreni7vsBrin	OccupazioneTreno7vsBrin	PersoneSaliteABordo7vsBrin	PersoneABordoPreDiscesa7vsBrin	PersoneSceseDalTreno7vsBrin	mean_pass_t6	max_pass_t6	mean_pass_t7	max_pass_t7	Out
5.697094	3.035314	573.400215	272.021396	10.861482	0	900	247.988103	89	171	12.011897	390	193.194089	72	129.5	8.305911	7.594444	57	6.372222	51	1
4.883341	1.076743	519.974614	119.371279	22.974743	52.466294	900	147.973566	47	112	11.026434	900	231.680643	84	155	7.319357	4.271667	16	6.517778	19	1
4.851448	3.209974	537.808938	277.929336	12.248539	53.777391	900	188.928001	133	58	2.071999	900	298.484307	97	208	6.515693	5.165556	39	15.910556	70	1
5.870797	5.559099	646.913206	626.048151	0	36.345296	390	105.958126	40.5	73.5	8.041874	900	205.605064	27	191	12.394936	4.911667	39	6.283889	37	1
2.57191	4.520076	240.688645	492.718512	34.491538	27.262048	900	134.929831	26	110	1.070169	900	385.544634	106	286	6.455366	7.692778	45	5.348889	33	1
6.033562	3.435885	502.539579	340.004806	43.094138	29.367098	360	116.922555	18	104	5.077445	900	220.548166	40	191	10.451834	7.303889	38	7.839444	38	1
5.033572	5.384341	567.582635	536.386455	19.135476	42.158022	900	223.867121	41	192	9.132879	900	301.023594	22	280	0.976406	9.474444	39	8.087778	37	1
5.934611	4.788306	659.147354	498.753249	57.777696	48.226138	600	300.529099	41	271.5	11.970901	900	357.664644	14	349	5.335356	15.361111	61	16.911111	68	1
5.515194	6.007252	584.543695	652.282053	21.477359	36.028695	900	193.911635	50	146	2.088365	900	189.980528	55	138	3.019472	8.913889	31	7.858889	31	1
4.659009	0.466175	504.999197	50.616662	18.370255	10.664389	780	40.326374	23.5	29.5	12.673626	900	291.516309	56	243	7.483691	2.119444	17	3.241667	17	1
3.527175	6.339618	348.294847	560.834725	49.683791	54.159685	570	107.363831	33	78	3.636169	900	161.829519	75	94	7.170481	3.29	16	2.681667	16	1
4.792232	6.44715	491.005468	662.800965	40.337382	11.528554	390	153.901455	48.5	116	10.598545	330	359.49054	35	335	10.50946	14.593333	61	12.358889	55	1
3.368769	4.013714	306.571528	346.273977	47.083963	8.060324	600	295.572411	18	279.5	1.927589	900	271.079254	9	278	15.920746	8.100556	44	6.231667	39	1
3.566544	6.160487	352.64636	583.37123	11.828703	16.323361	390	219.996875	37.5	194.5	12.003125	900	144.739569	35	115	5.260431	13.193333	55	8.115	52	1
5.008817	3.747501	540.504026	360.154706	41.184551	17.34952	360	301.339921	12	301	11.660079	600	172.96476	33	148.5	8.53524	18.253889	66	16.571111	68	1
6.294463	1.071964	603.226527	111.934128	64.530207	38.781402	360	185.254187	84.5	106	5.245813	900	202.971366	44	160	1.028634	11.788889	47	9.564444	59	1
3.258391	4.517333	321.667067	433.653397	11.906727	61.240104	900	80.23455	57	29	5.76545	900	34.628796	21	23	9.371204	4.661667	18	4.520556	17	1
5.470932	4.746477	560.638604	454.318696	14.647485	10.791046	420	181.804547	21.5	162.5	2.195453	900	198.102462	37	174	12.897538	5.695556	26	5.236111	27	1
6.356788	6.043083	624.906124	699.716345	15.48796	51.179491	390	197.60142	20	192.5	14.89858	480	258.610076	35.5	234.5	11.389924	10.702778	50	13.058333	56	1
2.652809	6.135737	292.690208	605.752519	54.083092	36.102378	300	281.568005	43	219	7.431995	630	223.874775	27	206	9.125225	7.541667	29	6.376111	32	1
